Periodo,Campus,NRC,Facultad ,Departamento,Parte pdo,Lista cruzada,Materia,Secc,Nivel materia,Modo calificación,Estatus secc,Créditos,Nombre largo curso,Cupo,Inscritos,Cupo disponible,Indicador de sesión,Profesor(es),Tipo horario (franja),Fecha inicio,Fecha fin,Hora inicio,Hora fin,Edificio,Salón,Capacidad salón,Atributo salón,Descripción atributo salón,Atributo curso,Atributo sección,Lunes,Martes,Miercoles,Jueves,Viernes,Sábado,Domingo,Censo 1,Fecha de censo 1,Censo 2,Fecha de censo 2
202510,CAMPUS PRINCIPAL,10016.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-4100,1,MAGISTER,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,4.0,MODELOS ESTADISTICOS LINEALES,35.0,26.0,9.0,1.0,(01) ALEJANDRA  TABARES POZOS(Y),TEORICA,2025-01-21,2025-05-24,1700.0,1820.0,ML,ML_515,50.0,EXPR,Salón con móvil express,,,,M,,J,,,,27.0,2025-03-10,28.0,2025-04-21
202510,CAMPUS PRINCIPAL,10017.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-4101,1,MAGISTER,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,4.0,OPTIMIZACION AVANZADA,44.0,36.0,8.0,1.0,(01) ANDRES LEONARDO MEDAGLIA GONZALEZ(Y),TEORICA,2025-01-21,2025-05-24,1400.0,1520.0,RGD,RGD_202,60.0,EXPR,Salón con móvil express,,,,,I,,V,,,40.0,2025-03-10,37.0,2025-04-21
202510,CAMPUS PRINCIPAL,10036.0,INGENIERÍA,INGENIERIA DE SISTEMAS Y COMPU,1,,ISIS-4001,1,MAGISTER,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,8.0,TESIS II,9.0,8.0,1.0,1.0,(01) JUAN PABLO FERNANDEZ RAMIREZ(Y) | (01) OLGA  MARIÑO DREWS | (01) NATALIA  FRANCO TAMARA,PROYECTO DE GRADO,2025-01-21,2025-05-24,,,NOREQ,NOREQ,999.0,,,,,,,,,,,,8.0,2025-03-10,8.0,2025-04-21
202510,CAMPUS PRINCIPAL,10120.0,INGENIERÍA,INGENIERIA INDUSTRIAL,2,,IIND-3001,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROYECTO DE GRADO 2,200.0,122.0,78.0,1.0,(01) JORGE ENRIQUE MARTINEZ ALGARRA(Y) | (01) MARIA CATALINA RAMIREZ CAJIAO,PROYECTO DE GRADO,2025-01-21,2025-05-24,,,NOREQ,NOREQ,999.0,,,,,,,,,,,,123.0,2025-03-10,122.0,2025-04-21
202510,CAMPUS PRINCIPAL,10121.0,INGENIERÍA,INGENIERIA INDUSTRIAL,2,,IIND-3001,2,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROYECTO DE GRADO 2,30.0,10.0,20.0,1.0,(01) LUIS EDUARDO  GALVEZ REY(Y),TEORICA,2025-01-21,2025-05-24,630.0,750.0,SD,SD_201-2,52.0,EXPR,Salón con móvil express,,,,,I,,V,,,10.0,2025-03-10,10.0,2025-04-21
202510,CAMPUS PRINCIPAL,10151.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2400,2,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,SISTEMAS DE CONTROL GERENCIAL,59.0,55.0,4.0,1.0,(01) MARIA FERNANDA VALERO SANCHEZ(Y),TEORICA,2025-01-21,2025-05-24,1100.0,1220.0,ML,ML_512,60.0,EXPR,Salón con móvil express,,,,M,,J,,,,58.0,2025-03-10,55.0,2025-04-21
202510,CAMPUS PRINCIPAL,10158.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-3400,2,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,FINANZAS,80.0,68.0,12.0,1.0,(01) JULIO ERNESTO VILLARREAL NAVARRO(Y),TEORICA,2025-01-21,2025-05-24,1530.0,1650.0,B,B_401,86.0,FACC,Fácil acceso salud profesor,,,,M,,J,,,,72.0,2025-03-10,68.0,2025-04-21
202510,CAMPUS PRINCIPAL,10168.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-3301,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,SISTEMAS PUBLICOS (Tipo E),30.0,14.0,16.0,1.0,(01) ASTRID XIMENA BEJARANO RODRIGUEZ(Y),TEORICA,2025-01-21,2025-05-24,930.0,1050.0,AU,AU_403,36.0,ACLE,Salón active learning,,ECUR-CURSO TIPO E,,,I,,V,,,15.0,2025-03-10,14.0,2025-04-21
202510,CAMPUS PRINCIPAL,10210.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-4200,1,MAGISTER,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,4.0,MODELOS DE CONTROL DE PRODUCCION,30.0,15.0,15.0,1.0,(01) CIRO ALBERTO AMAYA GUIO(Y),TEORICA,2025-01-21,2025-05-24,1400.0,1520.0,ML,ML_208,40.0,EXPR,Salón con móvil express,,,,M,,J,,,,15.0,2025-03-10,15.0,2025-04-21
202510,CAMPUS PRINCIPAL,10211.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-4403,1,MAGISTER,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,4.0,TEORIA DE LA DECISION,40.0,27.0,13.0,1.0,(01) ADRIANA LOURDES ABREGO PEREZ(Y),TEORICA,2025-01-21,2025-05-24,1530.0,1820.0,ML,ML_512,60.0,FAES,Fácil acceso estudiante,,,,,I,,,,,28.0,2025-03-10,28.0,2025-04-21
